"Word types: A = adjective, ADV = adverb, F = function word (non-specified), N = noun, NUM = numeral, V = verb.",,,,,,,,,,,
"AoA = Age of Acquisition, new = ratings collected for the present study, MRC = ratings (not specified for word class), available on the MRC Psycholinguistic Database (1997). Oxford: Medical Research Council.",,,,,,,,,,,
"Frequency = logarithm of combined written and spoken count divided by total words in corpus of Celex Database (Baayen, R.H., Piepenbrock, R. & Gulikers, L. (1995). The CELEX Lexical Database [CD ROM]. Philadelphia, PA: Linguistic Data Consortium, University of Pennsylvania).",,,,,,,,,,,
WORD,Word type,new AoA,new Imageability,MRC AoA,MRC Imageability,Frequency,AoA_Kup,Bird_recalc,Bird_recalc2,,
bomb,N,399,609,.,606,1.6146,8,7.52143,7.31277404,,
bomb,V,433,580,.,606,1.0993,8,8.18681,7.98333156,,
bomb aimer,N,547,363,.,.,-1.5539,#N/A,10.41779,10.48542636,,
bonus,N,538,.,.,397,0.9976,8.17,10.24166,10.27367976,,
boo,V,327,445,.,.,0.1614,3.781264,6.11239,6.00755516,,
book,N,174,655,214,591,2.6381,3.68,3.11818,3.75171704,,
bookkeeper,N,504,526,.,.,0.2788,9.15,9.57628,9.49573664,,
born,A,256,.,.,435,1.9604,4.68,4.72292,4.87316544,,
borrow,V,312,390,.,.,1.4907,6.95,5.81884,5.75526176,,
botanist,N,570,438,.,.,0.3385,10.63,10.8679,11.037626,,
botany,N,568,.,.,410,0.3704,12.68,10.82876,10.98897696,,
both,F,256,.,.,298,2.7858,4.772365,4.72292,4.87316544,,
bother,V,336,352,322,369,1.7671,6.5,6.28852,6.16217984,,
bottom,N,185,.,.,436,1.9301,5.28,3.33345,3.890409,,
bowl,N,228,.,256,579,1.5187,4.26,4.17496,4.46749136,,
bowl,V,355,494,256,579,1.107,4.26,6.66035,6.496611,,
box,V,340,504,192,591,-0.0487,4.3,6.3668,6.231684,,
boy,N,150,.,.,618,2.5442,3.67,2.6485,3.46175,,
brain,N,326,.,347,572,1.8743,5.76,6.09282,5.99052504,,
braise,V,551,413,.,.,-0.4089,13.607018,10.49607,10.58031804,,
Brazil,N,510,494,.,.,1.0095,#N/A,9.6937,9.630494,,
break,N,376,449,.,398,1.4811,5.3,7.07132,6.87887904,,
break,V,230,537,.,398,2.3601,5.3,4.2141,4.495686,,
break and enter,V,555,547,.,.,-1.5539,#N/A,10.57435,10.675691,,
breakfast,N,167,617,233,586,1.7441,3.47,2.98119,3.66535356,,
breathe,V,232,525,.,.,1.6453,4.11,4.25324,4.52400096,,
breed,V,465,472,.,.,1.2799,9,8.81305,8.646209,,
bric a brac,N,575,491,.,.,-1.5539,#N/A,10.96575,11.159775,,
